"Registration Number","Name of Company (Traditional Chinese)","Name of Company (English)","Area (Traditional Chinese)","Area (English)","District (Traditional Chinese)","District (English)","Business Address (Traditional Chinese)","Business Address (English)","Telephone Number","Workshop Type","Service Scope","Expiry Date","Review Status","Latitude","Longitude","Types of Vehicles Serviced (Traditional Chinese)","Types of Vehicles Serviced (English)","Types of Services Provided by the Workshop (Traditional Chinese)","Types of Services Provided by the Workshop (English)","Sundays (Open)","Sundays (Closed)","Mondays (Open)","Mondays (Closed)","Tuesdays (Open)","Tuesdays(Closed)","Wednesdays (Open)","Wednesdays(Closed)","Thursdays (Open)","Thursdays(Closed)","Fridays (Open)","Fridays (Closed)","Saturdays (Open)","Saturdays (Closed)","Public Holidays (Open)","Public Holidays (Closed)","Statutory Holidays (Open)","Statutory Holidays (Closed)","Opening Hours"
"VMW000022","摩托汽車服務中心有限公司","K-MART MOTOR SERVICES CENTRE LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","紅磡新圍街15-19號豐富大廈地下B舖","Shop B, G/F, Harvest Mansion, No. 15-19, San Wai Street, Hung Hom","21218787","4","IC","2028-06-17","","22.31177","114.18664","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000033","BRIDGESTONE PRO TYRE SHOP","BRIDGESTONE PRO TYRE SHOP","九龍","Kowloon","九龍城","KOWLOON CITY","九龍城道153號中華工業大廈地下","G/F, China Industrial Building, No. 153, Kowloon City Road, ","27148100","3","IC","2027-12-28","","22.32099","114.19015","私家車","Private Car","一般車輛維修 (機械和電器工作), 輪胎服務, 電池服務","General vehicle maintenance (mechanical and electrical work), Tyre, Battery","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW000066","大昌–港龍機場地勤設備服務有限公司","DAH CHONG HONG – DRAGONAIR AIRPORT GSE SERVICE LIMITED","新界","N.T.","離島","ISLANDS DISTRICT","大嶼山香港國際機場航膳東路13號","No. 13, Catering Road East, HK International Airport, Lantau Island","22150316","2","IC","2027-09-20","","22.30455","113.93363","私家車, 小巴, 輕型貨車, 中型貨車, 掛接式拖車頭及拖車架","Private Car, Light Bus, Light Goods Vehicle, Medium Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 車身修理, 車身噴漆","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Body works, Spray painting","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","Su 00:00-23:59,Mo 00:00-23:59, Tu 00:00-23:59, We 00:00-23:59, Th 00:00-23:59, Fr 00:00-23:59, Sa 00:00-23:59"
"VMW000088","海城車房","HOI SHING GARAGE","香港","Hong Kong","東區","EASTERN DISTRICT","威菲路道1號B地下","G/F, No. 1B, Whitfield Road, ","25788105","4","IC","2027-12-28","","22.28641","114.19114","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:00","R","R","R","R","Mo 09:00-18:30, Tu 09:00-18:30, We 09:00-18:30, Th 09:00-18:30, Fr 09:00-18:30, Sa 09:00-18:00"
"VMW000099","港興汽車維修中心","CONVERTIBLE CLASSICS (HK)","香港","Hong Kong","東區","EASTERN DISTRICT","堡壘街33號永寶大廈3及4號地舖","Shop 3&4, G/F, Wing Po Mansion, No. 33, Fort Street, ","25249892","4","IC","2028-02-11","","22.2900544","114.1974869","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000102","五祥汽車公司","NG CHEUNG MOTORS COMPANY","香港","Hong Kong","灣仔","WAN CHAI","威菲路道3號海閣洋樓地下","G/F, Hoi Kok Mansion, No. 3, Whitfield Road, ","25701977","4","IC","2028-12-29","","22.286314","114.1910902","私家車","Private Car","","","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW000124","保佳(香港)有限公司","POBY (HONG KONG) LIMITED","新界","N.T.","元朗","YUEN LONG","粉嶺粉錦公路上輋倉地 DD 111, LOT 870, 871","DD 111, LOT 870, 871 1/F, Sheung Che, Fan Kam Road, Fanling","24886899","2","IC","2028-01-24","","22.4519558","114.0950591","私家車, 小巴, 巴士, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","車身修理, 車身製造 (中型及重型車輛), 車身噴漆, 尾板","Body works, Body built (Medium-sized and heavy vehicles), Spray painting, Tail lift","","","","","","","","","","","","","","","","","","",""
"VMW000146","永豐汽車服務公司","WONDERFUL MOTORS SERVICE COMPANY","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣麟祥街16號地下","G/F, No. 16, Lun Cheung Street, To Kwa Wan","23302199","4","IC","2027-09-18","","22.3216","114.19192","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000157","健力電單車服務有限公司","KIN LIK MOTORCYCLE SERVICE LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣旭日街1號瑞英工業大廈第一期B座地下","Flat B, G/F, Phase 1, Sui Ying Industrial Building, No. 1, Yuk Yat Street, To Kwa Wan","23335395","3","IC","2028-03-12","","22.31558","114.19109","電單車","Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000179","四海車房","FOUR SEA GARAGE","九龍","Kowloon","深水埗","SHAM SHUI PO","長沙灣醫局西街1033號源盛工業大廈地下3舖","Flat 3, G/F, Yuen Shing Industrial Building, No. 1033, Yee Kuk West Street, Cheung Sha Wan","27416261","3","IC","2028-04-25","","22.3384491","114.1471613","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","其他","Others","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
